Device,Model,MaxNumSeqs,MaxNumBatchedTokens,TensorParallelSize,MaxModelLen,Dataset,InputLen,OutputLen,ExpectedETEL,NumPrompts
b200-8,meta-llama/Llama-3.1-70B-Instruct,256,262144,8,2048,sonnet,1800,128,,5000
b200-8,meta-llama/Llama-3.1-70B-Instruct,256,524288,8,2048,sonnet,1800,128,,1000
b200-8,meta-llama/Llama-3.1-70B-Instruct,256,524288,8,2048,sonnet,1800,128,,2000
b200-8,meta-llama/Llama-3.1-70B-Instruct,256,524288,8,2048,sonnet,1800,128,,3000
b200-8,meta-llama/Llama-3.1-70B-Instruct,256,524288,8,2048,sonnet,1800,128,,5000
b200-8,meta-llama/Llama-3.1-70B-Instruct,256,1048576,8,2048,sonnet,1800,128,,1000
b200-8,meta-llama/Llama-3.1-70B-Instruct,256,1048576,8,2048,sonnet,1800,128,,2000
b200-8,meta-llama/Llama-3.1-70B-Instruct,256,1048576,8,2048,sonnet,1800,128,,3000
b200-8,meta-llama/Llama-3.1-70B-Instruct,256,1048576,8,2048,sonnet,1800,128,,5000
b200-8,meta-llama/Llama-3.1-70B-Instruct,512,131072,8,2048,sonnet,1800,128,,1000
b200-8,meta-llama/Llama-3.1-70B-Instruct,512,131072,8,2048,sonnet,1800,128,,2000
b200-8,meta-llama/Llama-3.1-70B-Instruct,512,131072,8,2048,sonnet,1800,128,,3000
b200-8,meta-llama/Llama-3.1-70B-Instruct,512,131072,8,2048,sonnet,1800,128,,5000
b200-8,meta-llama/Llama-3.1-70B-Instruct,512,262144,8,2048,sonnet,1800,128,,1000
b200-8,meta-llama/Llama-3.1-70B-Instruct,512,262144,8,2048,sonnet,1800,128,,2000
b200-8,meta-llama/Llama-3.1-70B-Instruct,512,262144,8,2048,sonnet,1800,128,,3000
b200-8,meta-llama/Llama-3.1-70B-Instruct,512,262144,8,2048,sonnet,1800,128,,5000
b200-8,meta-llama/Llama-3.1-70B-Instruct,512,524288,8,2048,sonnet,1800,128,,1000
b200-8,meta-llama/Llama-3.1-70B-Instruct,512,524288,8,2048,sonnet,1800,128,,2000
b200-8,meta-llama/Llama-3.1-70B-Instruct,512,524288,8,2048,sonnet,1800,128,,3000
b200-8,meta-llama/Llama-3.1-70B-Instruct,512,524288,8,2048,sonnet,1800,128,,5000
b200-8,meta-llama/Llama-3.1-70B-Instruct,512,1048576,8,2048,sonnet,1800,128,,1000
b200-8,meta-llama/Llama-3.1-70B-Instruct,512,1048576,8,2048,sonnet,1800,128,,2000
b200-8,meta-llama/Llama-3.1-70B-Instruct,512,1048576,8,2048,sonnet,1800,128,,3000
b200-8,meta-llama/Llama-3.1-70B-Instruct,512,1048576,8,2048,sonnet,1800,128,,5000
b200-8,meta-llama/Llama-3.1-70B-Instruct,1024,131072,8,2048,sonnet,1800,128,,1000
b200-8,meta-llama/Llama-3.1-70B-Instruct,1024,131072,8,2048,sonnet,1800,128,,2000
